Symbol,Rm-Rf %,SMB %,HML %,WML %,ent,Adj-r_sq,const,high-low
TITAN,0.0,0.6108,0.3966,0.2084,,0.1998,0.8759,0.2109
ZICOM,0.0014,0.3436,0.9365,0.5916,,0.0575,0.7779,0.5084
MUNJALSHOW,0.0002,0.0003,0.0005,0.2464,,0.0793,0.397,0.4371
WSTCSTPAPR,0.0,0.0,0.0,0.751,,0.2405,0.3731,0.3667
DEEPAKFERT,0.0001,0.013,0.0152,0.782,,0.1096,0.9442,0.3436
UJAAS,0.0,0.0076,0.1404,0.8447,,0.0821,0.847,0.1729
GAMMNINFRA,0.0,0.0119,0.311,0.5709,,0.108,0.6286,0.6076
GALLANTT,0.151,0.1085,0.1637,0.6202,,0.0063,0.7979,0.6057
DEN,0.0,0.5138,0.3962,0.2154,,0.1143,0.9715,0.684
NBVENTURES,0.0006,0.0035,0.066,0.5417,,0.0693,0.4874,0.5843
TATAELXSI,0.0,0.0004,0.0558,0.3531,,0.1183,0.0191,0.3561
JINDCOT,0.0008,0.0109,0.0238,0.4642,,0.0826,0.1936,0.35
PERSISTENT,0.0027,0.177,0.9726,0.871,,0.025,0.0037,0.9171
HIRECT,0.0,0.0122,0.0223,0.5918,,0.143,0.9594,0.7139
LICHSGFIN,0.0,0.8038,0.1283,0.0529,,0.5355,0.7354,0.8311
MASTEK,0.0,0.0037,0.0441,0.9794,,0.119,0.2178,0.4237
HEXAWARE,0.0112,0.3386,0.0346,0.397,,0.0665,0.1113,0.4457
RPPINFRA,0.0406,0.1259,0.5558,0.3348,,0.0324,0.205,0.3882
GOENKA,0.0198,0.758,0.2666,0.9525,,0.0458,0.0397,0.1366
SASKEN,0.0725,0.9425,0.7883,0.4524,,0.0151,0.0647,0.8003
LITL,0.0,0.0011,0.0001,0.0571,,0.3323,0.8065,0.3822
ORIENTBANK,0.0,0.0282,0.6313,0.0001,,0.5083,0.9045,0.3712
PAGEIND,0.001,0.0006,0.0565,0.1563,,0.0384,0.0271,0.1025
HERCULES,0.0,0.0,0.0012,0.5872,,0.2066,0.4213,0.121
PURVA,0.0,0.0021,0.3559,0.5652,,0.242,0.4848,0.7943
DHANUKA,0.0,0.0172,0.544,0.4166,,0.1582,0.0052,0.8005
SKFINDIA,0.0,0.0106,0.1776,0.8628,,0.0714,0.3306,0.0789
SAREGAMA,0.0,0.0017,0.0032,0.9083,,0.1978,0.4359,0.4101
TATACOFFEE,0.0,0.007,0.077,0.7849,,0.1944,0.8923,0.2718
NELCAST,0.0158,0.0102,0.0196,0.9203,,0.0436,0.7198,0.9544
NATCOPHARM,0.0053,0.4658,0.1839,0.1937,,0.0424,0.068,0.0939
TIMKEN,0.0178,0.0735,0.0269,0.7482,,0.048,0.8257,0.5898
WHIRLPOOL,0.0,0.198,0.9908,0.2422,,0.1981,0.9786,0.5273
NBCC,0.0,0.0066,0.0001,0.8073,,0.356,0.5684,0.2879
AMTEKAUTO,0.0,0.0,0.0001,0.1838,,0.2626,0.7992,0.4977
DRREDDY,0.0,0.11,0.3324,0.4296,,0.1704,0.0557,0.7613
SETFGOLD,0.0075,0.6457,0.249,0.3512,,0.0238,0.9837,0.6027
BAJAJFINSV,0.0,0.282,0.806,0.6835,,0.1626,0.9475,0.2594
TATASTEEL,0.0,0.003,0.2581,0.0,,0.5222,0.2362,0.7996
JVLAGRO,0.5879,0.2005,0.0736,0.5621,,0.0054,0.9222,0.7157
CGPOWER,0.0,0.3374,0.941,0.1266,,0.3405,0.2942,0.0892
TIL,0.0,0.0,0.0001,0.2973,,0.2487,0.6202,0.6085
NAVNETEDUL,0.0,0.0049,0.0043,0.6834,,0.1537,0.6959,0.5438
SPECIALITY,0.0001,0.1087,0.109,0.5843,,0.1362,0.9049,0.3921
KCPSUGIND,0.0001,0.0131,0.0337,0.0758,,0.1459,0.9796,0.8119
ROHLTD,0.0,0.0,0.0112,0.4361,,0.1793,0.7911,0.129
DAAWAT,0.0054,0.1213,0.0226,0.4421,,0.0927,0.2093,0.8669
GMBREW,0.0078,0.0101,0.0012,0.3845,,0.1103,0.2098,0.9983
EMMBI,0.2257,0.9688,0.1396,0.1361,,0.0166,0.6972,0.947
JPINFRATEC,0.0,0.0281,0.0421,0.0075,,0.3658,0.5819,0.7013
TATAINVEST,0.0,0.0015,0.0661,0.0924,,0.1725,0.6921,0.2012
LAXMIMACH,0.0002,0.1699,0.0082,0.1348,,0.1898,0.0918,0.5626
JBFIND,0.0002,0.3062,0.833,0.0544,,0.1235,0.7549,0.9465
KOPRAN,0.0,0.0104,0.0125,0.0291,,0.2214,0.321,0.3294
IOC,0.0,0.5229,0.5782,0.3002,,0.297,0.9947,0.0354
IVRCLINFRA,0.0,0.006,0.0,0.0288,,0.4798,0.3187,0.0924
PRAKASH,0.0,0.0067,0.0001,0.1246,,0.3341,0.5819,0.8803
MINDTREE,0.0056,0.2157,0.9693,0.9339,,0.0203,0.0004,0.5224
SCHNEIDER,0.0,0.0002,0.005,0.5913,,0.1621,0.6639,0.0336
RSSOFTWARE,0.0,0.0027,0.2058,0.075,,0.155,0.2143,0.4677
DCM,0.0041,0.1854,0.0815,0.6247,,0.0671,0.7272,0.3841
RELAXO,0.4561,0.3568,0.1231,0.9263,,-0.0032,0.7441,0.5099
SANGAMIND,0.0,0.0039,0.0849,0.7919,,0.1232,0.8228,0.2643
LIBERTSHOE,0.0,0.0,0.0001,0.7295,,0.2635,0.0208,0.4751
RCF,0.0,0.0162,0.0049,0.0016,,0.3864,0.8263,0.7999
ICICIBANK,0.0,0.614,0.0294,0.5835,,0.5214,0.3507,0.7605
INDUSINDBK,0.0,0.7129,0.4252,0.429,,0.4425,0.3466,0.7987
MANALIPETC,0.0,0.0001,0.0088,0.0675,,0.2271,0.8485,0.3702
VSTIND,0.0002,0.0164,0.902,0.5493,,0.0582,0.6097,0.252
SUZLON,0.0,0.0164,0.0016,0.9939,,0.2102,0.9103,0.1446
CRISIL,0.0772,0.4348,0.1926,0.3989,,0.0069,0.4376,0.8681
SHARONBIO,0.7522,0.8621,0.6267,0.4058,,-0.0143,0.6009,0.7202
ADANIPORTS,0.0,0.1171,0.1549,0.997,,0.185,0.2562,0.0048
SONATSOFTW,0.0001,0.0267,0.0051,0.3652,,0.0983,0.063,0.552
JSWHL,0.0,0.0221,0.0056,0.0005,,0.4006,0.214,0.3683
ASHIANA,0.0809,0.4523,0.691,0.6471,,0.0043,0.8957,0.3202
POLYPLEX,0.0,0.0575,0.1119,0.0017,,0.2187,0.9638,0.7865
ITI,0.0,0.0081,0.0009,0.0649,,0.2446,0.7695,0.6742
GODREJPROP,0.0007,0.8433,0.6067,0.5506,,0.0593,0.0862,0.454
TVSSRICHAK,0.0002,0.0056,0.1987,0.6759,,0.079,0.3196,0.5571
JBCHEPHARM,0.0,0.0036,0.0004,0.9254,,0.1838,0.0629,0.8144
DLINKINDIA,0.0,0.0097,0.1562,0.2515,,0.1508,0.3412,0.801
ACC,0.0,0.8647,0.3376,0.2669,,0.3574,0.6438,0.3601
NAVINFLUOR,0.0,0.0,0.0377,0.0439,,0.1971,0.33,0.4973
TRENT,0.0009,0.7104,0.7086,0.1846,,0.0597,0.7693,0.3426
MERCK,0.0016,0.1928,0.714,0.3416,,0.0269,0.9955,0.9306
ELECTCAST,0.0,0.0001,0.0435,0.0005,,0.3295,0.9454,0.6675
DPSCLTD,0.0463,0.676,0.7483,0.9818,,0.0776,0.7934,0.0144
TVTODAY,0.0039,0.4122,0.0224,0.0532,,0.2074,0.159,0.0807
STRTECH,0.0,0.0,0.0002,0.0046,,0.3626,0.3905,0.8118
NITINSPIN,0.0002,0.035,0.2871,0.7963,,0.1012,0.0488,0.1
THERMAX,0.0,0.0017,0.0153,0.0668,,0.1239,0.1791,0.2022
STAR,0.2317,0.5039,0.8504,0.2441,,0.0152,0.5124,0.0219
FEDERALBNK,0.0062,0.4108,0.554,0.5911,,0.0804,0.3164,0.1762
METALFORGE,0.0,0.0496,0.0565,0.8657,,0.1582,0.9995,0.1483
PAISALO,0.0894,0.4081,0.1171,0.0875,,0.042,0.0232,0.549
TFCILTD,0.0,0.0,0.0,0.5656,,0.1672,0.4807,0.921
SELAN,0.0001,0.0165,0.0021,0.1883,,0.2031,0.3813,0.3619
NLCINDIA,0.0,0.0001,0.0102,0.3338,,0.276,0.6192,0.0099
PARSVNATH,0.0,0.0379,0.582,0.53,,0.0861,0.5649,0.724
TATASPONGE,0.1374,0.5467,0.4275,0.9122,,0.0683,0.7057,0.0402
ITC,0.0,0.3573,0.0255,0.0716,,0.3641,0.2639,0.0844
NATIONALUM,0.0113,0.3703,0.4107,0.0011,,0.218,0.9799,0.7076
WABAG,0.0,0.0678,0.3833,0.3058,,0.1255,0.3627,0.8206
GVKPIL,0.0,0.156,0.0058,0.001,,0.3691,0.7667,0.0304
IBVENTURES,0.0,0.0009,0.0031,0.9278,,0.2348,0.0264,0.2029
RKDL,0.1008,0.0961,0.0768,0.5618,,0.0173,0.1492,0.3993
FACT,0.0045,0.2284,0.0057,0.175,,0.1519,0.8907,0.7717
ASTRAMICRO,0.0021,0.0174,0.1059,0.4954,,0.0712,0.0566,0.5753
RUSHIL,0.0204,0.0077,0.0128,0.0424,,0.0899,0.1364,0.1802
RICOAUTO,0.0,0.0037,0.1362,0.3342,,0.1484,0.1643,0.5122
POWERGRID,0.0,0.5782,0.7011,0.4852,,0.1787,0.8507,0.5424
MAGMA,0.0003,0.8087,0.7358,0.3143,,0.0821,0.9458,0.3039
KSK,0.0,0.0021,0.0089,0.8769,,0.1127,0.2888,0.5779
SHOPERSTOP,0.0,0.3552,0.3537,0.9648,,0.104,0.5748,0.1574
ABB,0.0,0.0307,0.7506,0.0398,,0.2674,0.2325,0.7118
MTNL,0.0002,0.0078,0.0004,0.0163,,0.2212,0.8192,0.6513
INDIACEM,0.0004,0.1868,0.2386,0.4905,,0.2352,0.4077,0.4353
OPTOCIRCUI,0.0002,0.2195,0.0473,0.0016,,0.254,0.6202,0.4769
DEEPIND,0.0,0.0024,0.0067,0.0962,,0.1073,0.536,0.5749
HOTELEELA,0.0,0.0007,0.0002,0.2629,,0.1855,0.5113,0.1072
RSWM,0.0001,0.0023,0.0,0.9364,,0.2043,0.1261,0.4857
ADANIENT,0.0,0.4318,0.0265,0.2355,,0.3784,0.4353,0.2352
UGARSUGAR,0.0045,0.0284,0.0271,0.9794,,0.0566,0.9134,0.9724
GANESHHOUC,0.0,0.0,0.0016,0.4762,,0.2444,0.6074,0.9292
OMAXAUTO,0.0167,0.0514,0.0934,0.2741,,0.0524,0.8914,0.742
JISLJALEQS,0.0,0.7345,0.3082,0.0474,,0.3563,0.3919,0.9725
TDPOWERSYS,0.3185,0.2796,0.0867,0.9735,,0.0116,0.5373,0.5836
EICHERMOT,0.0003,0.0166,0.0015,0.9402,,0.1111,0.0207,0.0038
SIYSIL,0.0,0.0,0.0003,0.908,,0.1584,0.4826,0.1493
BATAINDIA,0.0,0.0234,0.0066,0.0207,,0.228,0.2279,0.3669
HEXATRADEX,0.0,0.1335,0.4592,0.2112,,0.1659,0.9893,0.0985
SITINET,0.0,0.0002,0.0069,0.7338,,0.3171,0.7734,0.2449
EMAMILTD,0.0022,0.7452,0.6451,0.8273,,0.0505,0.8526,0.6971
FDC,0.0001,0.0002,0.0051,0.8219,,0.0891,0.031,0.4649
CUMMINSIND,0.0001,0.1385,0.072,0.8894,,0.1356,0.6953,0.2305
NITINFIRE,0.0168,0.2177,0.1339,0.853,,0.0525,0.6782,0.3986
MONSANTO,0.0,0.0037,0.1226,0.6798,,0.0885,0.086,0.599
JSL,0.0,0.0008,0.0,0.8176,,0.2559,0.4484,0.7428
AKSHOPTFBR,0.2661,0.4379,0.0188,0.8515,,0.0339,0.98,0.2482
RAYMOND,0.0,0.0805,0.2251,0.2708,,0.4901,0.8369,0.14
CORPBANK,0.0,0.023,0.7709,0.0755,,0.3932,0.2679,0.7787
OBEROIRLTY,0.0,0.0913,0.1869,0.3026,,0.1921,0.8947,0.3185
BALKRISIND,0.0001,0.0002,0.0176,0.1243,,0.1208,0.1215,0.0612
SSWL,0.0,0.0752,0.3693,0.9795,,0.1252,0.7806,0.0842
NAHARSPING,0.0,0.0016,0.0007,0.7996,,0.2123,0.0365,0.4776
IL&FSENGG,0.0002,0.0036,0.0008,0.1016,,0.2385,0.6357,0.0166
NECLIFE,0.0002,0.0274,0.0461,0.7255,,0.0988,0.5134,0.9744
GENESYS,0.0057,0.8306,0.8832,0.2992,,0.1353,0.6477,0.0
LEEL,0.0,0.0,0.0007,0.1378,,0.1879,0.8164,0.0242
BEML,0.0,0.0002,0.0066,0.0519,,0.3199,0.375,0.7177
AMBUJACEM,0.0,0.3091,0.2757,0.032,,0.2717,0.9841,0.7954
SHREECEM,0.0,0.0091,0.1095,0.0009,,0.2032,0.8184,0.0119
TULSI,0.0438,0.0186,0.1159,0.9133,,0.0146,0.9186,0.9491
ALKALI,0.0002,0.0006,0.0044,0.9933,,0.1178,0.9813,0.3034
NAUKRI,0.0075,0.3488,0.6874,0.3646,,0.0143,0.1453,0.5089
BSLGOLDETF,0.025,0.1677,0.4027,0.8029,,0.0147,0.8798,0.5118
SOLARINDS,0.012,0.335,0.9765,0.1687,,0.0193,0.7629,0.1682
PNB,0.0,0.4316,0.8523,0.0074,,0.5415,0.9485,0.3635
FEDDERELEC,0.0,0.001,0.0064,0.2858,,0.1587,0.9877,0.9965
PREMIER,0.0001,0.0002,0.0001,0.8221,,0.1938,0.4665,0.1327
CADILAHC,0.003,0.0505,0.0035,0.0024,,0.0547,0.8182,0.5984
TECHM,0.0006,0.8276,0.0448,0.0672,,0.0654,0.0045,0.1565
MAHINDCIE,0.0163,0.2016,0.0816,0.3033,,0.022,0.7239,0.3684
KEI,0.0001,0.0,0.0001,0.0172,,0.1965,0.6595,0.0847
COMPUSOFT,0.0004,0.1173,0.3978,0.1898,,0.124,0.7855,0.1151
KEC,0.0,0.0002,0.3762,0.2375,,0.1811,0.3469,0.339
GOKUL,0.0002,0.0001,0.003,0.9697,,0.0844,0.3656,0.138
MUNJALAU,0.0,0.0,0.0176,0.5947,,0.1469,0.2567,0.2561
VARDHACRLC,0.0131,0.0126,0.3301,0.5226,,0.0254,0.1101,0.1838
BAJAJELEC,0.0,0.0001,0.0202,0.211,,0.1436,0.3065,0.0779
INDRAMEDCO,0.0,0.0006,0.185,0.1446,,0.1327,0.308,0.3184
ZEEL,0.0,0.2924,0.0163,0.3977,,0.1738,0.2907,0.0232
BLUESTARCO,0.0,0.0015,0.239,0.8958,,0.164,0.6163,0.0285
HCLTECH,0.0002,0.8111,0.8117,0.0477,,0.0649,0.005,0.9541
DLF,0.0,0.1878,0.0896,0.0009,,0.4729,0.633,0.6924
JINDALSAW,0.0,0.4131,0.4743,0.0001,,0.4036,0.2249,0.2102
APARINDS,0.0,0.0001,0.0003,0.7372,,0.1645,0.4261,0.0629
HINDMOTORS,0.0021,0.1115,0.264,0.049,,0.1172,0.497,0.4709
WELSPUNIND,0.0002,0.0396,0.4252,0.7987,,0.0861,0.1805,0.1551
NTPC,0.0,0.5719,0.4963,0.6046,,0.2097,0.703,0.5797
ESSELPACK,0.0001,0.0017,0.0099,0.0075,,0.1977,0.056,0.8196
SIEMENS,0.0,0.4933,0.7865,0.094,,0.3094,0.4304,0.8208
KIRLOSENG,0.4034,0.578,0.9283,0.776,,-0.0169,0.7727,0.8148
RNAVAL,0.0283,0.0195,0.03,0.7872,,0.0263,0.0669,0.8733
ASSAMCO,0.0019,0.065,0.5366,0.0076,,0.1156,0.2541,0.9642
PRSMJOHNSN,0.0,0.0138,0.8767,0.0127,,0.1926,0.8181,0.8028
TEXMOPIPES,0.0,0.0,0.0003,0.0394,,0.2049,0.5732,0.5216
AVTNPL,0.5268,0.2721,0.2909,0.6268,,0.0352,0.4386,0.857
SUNILHITEC,0.0,0.0,0.0001,0.3425,,0.3552,0.4522,0.2687
MRF,0.0,0.7793,0.032,0.562,,0.3162,0.0357,0.3165
GUJALKALI,0.0216,0.5363,0.9188,0.5479,,0.0079,0.4855,0.5044
GOLDBEES,0.0107,0.8351,0.5024,0.2674,,0.0239,0.8537,0.2987
ESABINDIA,0.0021,0.2332,0.5008,0.1041,,0.062,0.268,0.9303
SELMCL,0.003,0.0085,0.0022,0.9164,,0.1015,0.8549,0.3451
RESPONIND,0.213,0.6203,0.0257,0.5876,,0.0303,0.6996,0.3608
SOBHA,0.0,0.0065,0.0137,0.0127,,0.1683,0.9985,0.6615
VIDEOIND,0.0941,0.3315,0.0,0.3273,,0.1337,0.4871,0.4524
RAMCOCEM,0.0,0.1209,0.7648,0.0369,,0.1562,0.9457,0.1177
TRITURBINE,0.0,0.0023,0.1109,0.9054,,0.1065,0.5398,0.98
GREAVESCOT,0.0001,0.0465,0.1972,0.565,,0.1173,0.809,0.2341
LUPIN,0.0007,0.5002,0.9757,0.1476,,0.0896,0.0597,0.8729
EROSMEDIA,0.0,0.0001,0.0167,0.3922,,0.2772,0.5084,0.3605
GLOBOFFS,0.0013,0.0445,0.3047,0.7022,,0.0652,0.1191,0.081
GAYAPROJ,0.0,0.0016,0.0036,0.4962,,0.1389,0.6032,0.3888
JPPOWER,0.0,0.9889,0.645,0.0003,,0.2932,0.9234,0.2684
MBLINFRA,0.0001,0.0001,0.0002,0.3968,,0.1416,0.5138,0.1684
WELENT,0.0001,0.0,0.0,0.008,,0.1296,0.6452,0.2272
TIDEWATER,0.0,0.0001,0.0005,0.3282,,0.255,0.4378,0.0001
AARTIIND,0.0004,0.1927,0.0504,0.3688,,0.0987,0.6164,0.268
SANWARIA,0.0001,0.0804,0.2771,0.5311,,0.0834,0.0802,0.127
QGOLDHALF,0.0326,0.4939,0.3888,0.6721,,0.0055,0.9893,0.7961
JPASSOCIAT,0.0,0.0466,0.4667,0.0,,0.5992,0.927,0.0377
HBLPOWER,0.0092,0.0062,0.1366,0.0493,,0.0706,0.6036,0.0134
20MICRONS,0.4898,0.557,0.2548,0.51,,-0.0006,0.0643,0.3904
NDTV,0.0004,0.0382,0.0168,0.0359,,0.1608,0.2438,0.3844
MBECL,0.0,0.0,0.0887,0.0004,,0.3082,0.7369,0.4646
UNITECH,0.0,0.2928,0.0001,0.0059,,0.5318,0.2354,0.4444
AMARAJABAT,0.0001,0.1566,0.5759,0.3888,,0.0725,0.0819,0.6357
SBIN,0.0,0.08,0.6134,0.0519,,0.459,0.5498,0.3521
PANACEABIO,0.0001,0.1769,0.0524,0.7927,,0.1051,0.6714,0.5021
SUBROS,0.0041,0.0419,0.043,0.6482,,0.0712,0.5711,0.7421
MADHUCON,0.0,0.0,0.0,0.5928,,0.3455,0.6973,0.3314
IDEA,0.0072,0.0243,0.5255,0.0505,,0.1771,0.1458,0.0618
TREEHOUSE,0.0,0.0001,0.0001,0.0439,,0.2609,0.698,0.132
KAJARIACER,0.0,0.2477,0.4922,0.0574,,0.1131,0.1503,0.3533
BBL,0.0,0.0363,0.5655,0.0033,,0.2417,0.9764,0.4808
SWARAJENG,0.0,0.0035,0.0077,0.6391,,0.1338,0.0446,0.468
DREDGECORP,0.0869,0.0176,0.0169,0.0,,0.2506,0.0708,0.7379
KRBL,0.0,0.0178,0.1113,0.3166,,0.1679,0.0739,0.2408
HMT,0.0,0.0147,0.0003,0.0161,,0.2706,0.7744,0.9849
SHANTIGEAR,0.0001,0.0059,0.0002,0.1534,,0.1039,0.6364,0.1784
JKLAKSHMI,0.0,0.0008,0.0453,0.7297,,0.1558,0.5062,0.5646
OIL,0.0,0.6005,0.8212,0.0395,,0.247,0.5938,0.5757
BHARATFORG,0.0,0.55,0.2693,0.0167,,0.2092,0.0883,0.2279
PSL,0.0,0.0048,0.0708,0.0709,,0.2423,0.1994,0.6122
IGL,0.0,0.0808,0.0631,0.8599,,0.1331,0.3194,0.684
IDFC,0.0,0.6485,0.4997,0.0457,,0.4806,0.8274,0.0894
JMFINANCIL,0.0,0.0113,0.0342,0.7373,,0.299,0.1434,0.8693
PETRONET,0.0,0.1743,0.0504,0.7185,,0.3182,0.839,0.1061
VISASTEEL,0.0301,0.1226,0.8226,0.1078,,0.0317,0.2276,0.4744
CYIENT,0.237,0.0403,0.1294,0.4859,,-0.0016,0.0072,0.2582
PNBGILTS,0.0,0.1662,0.3223,0.3279,,0.1417,0.4458,0.6009
GREENPLY,0.0017,0.0088,0.0026,0.8219,,0.0927,0.2985,0.6544
MUTHOOTFIN,0.0022,0.4872,0.5451,0.044,,0.1199,0.7254,0.774
BAJFINANCE,0.0,0.0017,0.0087,0.4307,,0.2926,0.2056,0.0007
IBREALEST,0.0,0.1676,0.0009,0.1902,,0.5708,0.6956,0.2643
VOLTAMP,0.0001,0.0077,0.1314,0.4972,,0.0794,0.4856,0.2971
RATNAMANI,0.0445,0.0142,0.0493,0.3317,,0.0135,0.6293,0.986
FIEMIND,0.0328,0.1198,0.3323,0.9696,,0.0099,0.0256,0.9851
KOHINOOR,0.0003,0.0025,0.0208,0.6165,,0.0855,0.1498,0.6561
ELGIEQUIP,0.0105,0.0693,0.0533,0.2398,,0.0349,0.843,0.4409
DABUR,0.0,0.0815,0.2876,0.072,,0.1302,0.1011,0.2282
ASHOKLEY,0.0,0.0917,0.0753,0.0142,,0.2354,0.7234,0.3173
SRTRANSFIN,0.0,0.4915,0.4924,0.0238,,0.2013,0.8365,0.9794
SUNDRMFAST,0.0,0.0002,0.0083,0.7835,,0.1962,0.4086,0.461
IVC,0.0148,0.8093,0.712,0.7946,,0.0243,0.4715,0.3802
ZYLOG,0.0,0.0001,0.0031,0.48,,0.146,0.1829,0.697
SYMPHONY,0.006,0.3466,0.927,0.5005,,0.034,0.17,0.1257
NFL,0.0001,0.0026,0.0001,0.0,,0.3368,0.1005,0.013
UNITEDBNK,0.0,0.0101,0.0272,0.0244,,0.3548,0.122,0.4937
CENTURYTEX,0.0,0.2542,0.0375,0.0032,,0.5838,0.7026,0.4892
NCLIND,0.0088,0.0149,0.0263,0.4969,,0.0635,0.5947,0.9876
ASTRAL,0.8806,0.6006,0.3035,0.6474,,0.0913,0.4993,0.0
RPOWER,0.0,0.1844,0.0,0.0,,0.7095,0.8464,0.2005
HINDCOPPER,0.011,0.4682,0.5257,0.0,,0.3677,0.9506,0.2727
PENINLAND,0.0,0.0,0.0,0.8606,,0.3675,0.8974,0.6551
JAGRAN,0.0001,0.0482,0.1162,0.4441,,0.0817,0.8667,0.3627
MTEDUCARE,0.0025,0.1204,0.0113,0.7794,,0.1384,0.7637,0.0818
APOLLOHOSP,0.0,0.0528,0.4497,0.0003,,0.1549,0.267,0.1826
TANTIACONS,0.0041,0.0028,0.1646,0.8208,,0.0374,0.5712,0.7776
AJANTPHARM,0.0041,0.1988,0.3619,0.8162,,0.0298,0.0401,0.5789
GILLETTE,0.0012,0.0444,0.0954,0.2444,,0.0406,0.8347,0.0257
CLNINDIA,0.0007,0.0249,0.0164,0.2633,,0.0526,0.7273,0.2959
PAPERPROD,0.0,0.0,0.0476,0.3467,,0.1962,0.182,0.2353
MCDOWELL-N,0.0,0.1507,0.0166,0.4726,,0.1821,0.2009,0.0028
VOLTAS,0.0,0.9802,0.3874,0.0025,,0.2818,0.2142,0.3758
HIMATSEIDE,0.0,0.0,0.0,0.4736,,0.2467,0.0353,0.0982
SWELECTES,0.0011,0.0021,0.0016,0.2796,,0.1173,0.0496,0.5052
KWALITY,0.0117,0.0984,0.2541,0.3878,,0.0398,0.6743,0.7148
BALLARPUR,0.0,0.0,0.0001,0.3659,,0.2142,0.6623,0.5878
JKIL,0.4094,0.205,0.0208,0.4924,,0.0244,0.6458,0.2883
POLYMED,0.2877,0.3897,0.1799,0.7846,,0.0018,0.848,0.1837
AMRUTANJAN,0.0,0.0,0.0006,0.9614,,0.2194,0.597,0.2725
JYOTISTRUC,0.0,0.0697,0.0098,0.0025,,0.3171,0.8044,0.0224
RCOM,0.0033,0.0,0.0,0.1576,,0.887,0.2593,0.1335
DALMIASUG,0.085,0.1723,0.0217,0.1401,,0.0981,0.8203,0.3533
JUBLINDS,0.0057,0.0425,0.0041,0.1588,,0.1429,0.2676,0.4965
GODREJCP,0.0,0.2982,0.5727,0.225,,0.099,0.2591,0.1086
GSFC,0.0,0.346,0.3113,0.0241,,0.1136,0.7801,0.1759
IL&FSTRANS,0.0,0.0,0.0071,0.0001,,0.3259,0.6167,0.8957
APOLLOTYRE,0.0013,0.3873,0.0712,0.683,,0.1207,0.293,0.494
ANSALAPI,0.0,0.004,0.0,0.0023,,0.5094,0.8962,0.1649
SUNTV,0.0,0.965,0.0095,0.0141,,0.2345,0.8205,0.5434
HIL,0.0,0.0,0.0,0.4786,,0.2525,0.2177,0.7431
PRAJIND,0.0,0.0291,0.0319,0.0126,,0.2353,0.3668,0.8863
INDIANHUME,0.0,0.0091,0.0133,0.0847,,0.1656,0.4753,0.2164
RENUKA,0.0,0.0451,0.0,0.0983,,0.3418,0.8541,0.5181
GLENMARK,0.0012,0.6779,0.2841,0.0569,,0.0621,0.7978,0.7574
WHEELS,0.0,0.1187,0.1902,0.408,,0.1247,0.4536,0.9698
JKTYRE,0.0,0.0013,0.0002,0.438,,0.2252,0.0847,0.32
WIPRO,0.01,0.5442,0.5107,0.8728,,0.0238,0.0837,0.216
CHAMBLFERT,0.0,0.3266,0.0011,0.0207,,0.3723,0.3931,0.0875
BASF,0.0,0.0055,0.0741,0.7078,,0.0862,0.6708,0.2873
KKCL,0.0165,0.09,0.4781,0.1633,,0.0404,0.0178,0.6908
BAFNAPHARM,0.1254,0.3858,0.0495,0.4387,,0.0154,0.5427,0.422
INDOCO,0.0058,0.0777,0.9599,0.4029,,0.0602,0.0041,0.0833
